2025-08-09 19:33:29.309 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.191 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.369 AUDIT INFO  projectSaveAs | fddtest-fc8b8dcb-5b21-497f-9b49-4a32c71485dd7438654154637389448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-fc8b8dcb-5b21-497f-9b49-4a32c71485dd7438654154637389448.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:47:55.592 AUDIT INFO  projectSave | fddtest-fc8b8dcb-5b21-497f-9b49-4a32c71485dd7438654154637389448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-fc8b8dcb-5b21-497f-9b49-4a32c71485dd7438654154637389448.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:47:55.710 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.720 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.728 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.902 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.910 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:56.035 AUDIT INFO  projectSaveAs | fdd-mru-order-a3709254172706056460.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a3709254172706056460.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:47:56.036 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:47:56.174 AUDIT INFO  projectSaveAs | fdd-mru-order-b17074215316769808731.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b17074215316769808731.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:47:56.175 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a3709254172706056460.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:48:26.699 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:49:44.748 AUDIT INFO  projectSaveAs | t1.fddi | project=/Users/vds/Desktop/t1.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:49:44.755 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:50:17.086 AUDIT INFO  commandExecute | Add Project to New Program | project=/Users/vds/Desktop/t1.fddi action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 21:50:17.741 AUDIT INFO  projectSave | t1.fddi | project=/Users/vds/Desktop/t1.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:50:17.742 AUDIT INFO  asyncSuccess | Saving | project=/Users/vds/Desktop/t1.fddi action=async:Saving node=New Project auditAction=asyncSuccess
2025-08-09 21:51:42.047 AUDIT INFO  projectSaveAs | t2.fddi | project=/Users/vds/Desktop/t2.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:51:42.049 AUDIT INFO  asyncSuccess | Saving As | project=/Users/vds/Desktop/t1.fddi action=async:Saving As node=New Project auditAction=asyncSuccess
2025-08-09 21:52:47.837 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:52:55.692 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 21:53:16.986 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:17.002 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:17.227 AUDIT INFO  projectSaveAs | fdd-mru-a5484259948396750400.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5484259948396750400.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:53:17.233 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:53:17.341 AUDIT INFO  projectSave | fdd-mru-a5484259948396750400.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5484259948396750400.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:53:17.341 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5484259948396750400.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 21:53:17.386 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:17.553 AUDIT INFO  projectSaveAs | fddtest-d082a3f8-c04c-4a2b-9306-f2853941ec132416353984308717661.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-d082a3f8-c04c-4a2b-9306-f2853941ec132416353984308717661.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:53:17.772 AUDIT INFO  projectSave | fddtest-d082a3f8-c04c-4a2b-9306-f2853941ec132416353984308717661.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-d082a3f8-c04c-4a2b-9306-f2853941ec132416353984308717661.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:53:17.883 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:17.890 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:17.896 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:18.061 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:18.069 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:53:18.192 AUDIT INFO  projectSaveAs | fdd-mru-order-a8411537249171631448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a8411537249171631448.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:53:18.193 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:53:18.325 AUDIT INFO  projectSaveAs | fdd-mru-order-b3133456791496718696.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b3133456791496718696.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:53:18.326 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a8411537249171631448.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:53:51.744 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:54:05.376 AUDIT INFO  commandExecute | Edit Program | project= action=execute:Edit Program node=New Program auditAction=commandExecute
2025-08-09 21:55:58.855 AUDIT INFO  commandExecute | Add Project to FDD Tools | project= action=execute:Add Project to FDD Tools node=FDD Tools auditAction=commandExecute
2025-08-09 21:56:20.981 AUDIT INFO  commandExecute | Add Aspect to FDD Tools - Java FX Version | project= action=execute:Add Aspect to FDD Tools - Java FX Version node=FDD Tools - Java FX Version auditAction=commandExecute
2025-08-09 21:56:37.953 AUDIT INFO  commandExecute | Add Subject to Java FX conversion | project= action=execute:Add Subject to Java FX conversion node=Java FX conversion auditAction=commandExecute
2025-08-09 21:56:51.777 AUDIT INFO  commandExecute | Add Activity to JavaFX UI | project= action=execute:Add Activity to JavaFX UI node=JavaFX UI auditAction=commandExecute
2025-08-09 21:57:10.860 AUDIT INFO  commandExecute | Add Feature to Refactoring UI | project= action=execute:Add Feature to Refactoring UI node=Refactoring UI auditAction=commandExecute
2025-08-09 21:57:17.092 AUDIT INFO  commandExecute | Add Work Package 'New Work Package' | project= action=execute:Add Work Package 'New Work Package' node=FDD Tools - Java FX Version auditAction=commandExecute
2025-08-09 21:57:20.824 AUDIT INFO  commandExecute | Rename Work Package to 'WP1' | project= action=execute:Rename Work Package to 'WP1' node=FDD Tools - Java FX Version auditAction=commandExecute
2025-08-09 21:57:33.554 AUDIT INFO  commandExecute | Edit Feature | project= action=execute:Edit Feature node=Edit auditAction=commandExecute
2025-08-09 21:57:44.544 AUDIT INFO  projectSaveAs | features.fddi | project=/Users/vds/Desktop/features.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:57:44.553 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=Edit auditAction=asyncSuccess
2025-08-09 21:57:50.675 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:58:00.824 AUDIT INFO  projectOpen | features.fddi | project=/Users/vds/Desktop/features.fddi action=openProject node= auditAction=projectOpen
2025-08-09 21:58:17.110 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:58:23.720 AUDIT INFO  commandExecute | Edit Program | project= action=execute:Edit Program node=New Program auditAction=commandExecute
2025-08-09 22:01:57.633 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:57.650 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:57.873 AUDIT INFO  projectSaveAs | fdd-mru-a15025013198187003445.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15025013198187003445.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:01:57.879 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:01:57.994 AUDIT INFO  projectSave | fdd-mru-a15025013198187003445.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15025013198187003445.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:01:57.994 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15025013198187003445.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:01:58.038 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.204 AUDIT INFO  projectSaveAs | fddtest-3b8ca45d-9056-42a2-9b11-4226f5c96ca912221174971401027355.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-3b8ca45d-9056-42a2-9b11-4226f5c96ca912221174971401027355.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:01:58.419 AUDIT INFO  projectSave | fddtest-3b8ca45d-9056-42a2-9b11-4226f5c96ca912221174971401027355.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-3b8ca45d-9056-42a2-9b11-4226f5c96ca912221174971401027355.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:01:58.534 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.543 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.550 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.711 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.717 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:01:58.838 AUDIT INFO  projectSaveAs | fdd-mru-order-a10906825385626900370.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a10906825385626900370.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:01:58.839 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:01:58.976 AUDIT INFO  projectSaveAs | fdd-mru-order-b3260713817660700108.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b3260713817660700108.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:01:58.977 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a10906825385626900370.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:02:42.787 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:02:49.468 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 22:03:00.710 AUDIT INFO  commandExecute | Add Feature to Refactoring UI | project= action=execute:Add Feature to Refactoring UI node=Refactoring UI auditAction=commandExecute
2025-08-09 22:07:14.921 AUDIT INFO  commandExecute | Add Work Package 'New Work Package' | project= action=execute:Add Work Package 'New Work Package' node=FDD Tools auditAction=commandExecute
2025-08-09 22:07:18.285 AUDIT INFO  commandExecute | Rename Work Package to 'WP1' | project= action=execute:Rename Work Package to 'WP1' node=FDD Tools auditAction=commandExecute
2025-08-09 22:07:19.650 AUDIT INFO  commandExecute | Add Project to FDD Tools | project= action=execute:Add Project to FDD Tools node=FDD Tools auditAction=commandExecute
2025-08-09 22:07:44.606 AUDIT INFO  commandExecute | Add Aspect to FDD Tools - Swift/SwiftUI Version | project= action=execute:Add Aspect to FDD Tools - Swift/SwiftUI Version node=FDD Tools - Swift/SwiftUI Version auditAction=commandExecute
2025-08-09 22:07:55.988 AUDIT INFO  commandExecute | Add Subject to Swift/Swift UI Implementation | project= action=execute:Add Subject to Swift/Swift UI Implementation node=Swift/Swift UI Implementation auditAction=commandExecute
2025-08-09 22:08:02.894 AUDIT INFO  commandExecute | Add Activity to SwiftUI | project= action=execute:Add Activity to SwiftUI node=SwiftUI auditAction=commandExecute
2025-08-09 22:08:24.749 AUDIT INFO  commandExecute | Add Feature to Build UI | project= action=execute:Add Feature to Build UI node=Build UI auditAction=commandExecute
2025-08-09 22:09:02.640 AUDIT INFO  projectSaveAs | features.fddi | project=/Users/vds/Desktop/features.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:02.644 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=FDD Tools auditAction=asyncSuccess
2025-08-09 22:09:12.980 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:17.695 AUDIT INFO  projectOpen | features.fddi | project=/Users/vds/Desktop/features.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:09:44.642 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:44.659 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:44.883 AUDIT INFO  projectSaveAs | fdd-mru-a5758378286865496313.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5758378286865496313.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:44.887 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:09:45.002 AUDIT INFO  projectSave | fdd-mru-a5758378286865496313.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5758378286865496313.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:09:45.002 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a5758378286865496313.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:09:45.047 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:45.216 AUDIT INFO  projectSaveAs | fddtest-2c611453-4175-4981-99d8-4d654e1c800d7608546181152484280.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-2c611453-4175-4981-99d8-4d654e1c800d7608546181152484280.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:45.448 AUDIT INFO  projectSave | fddtest-2c611453-4175-4981-99d8-4d654e1c800d7608546181152484280.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-2c611453-4175-4981-99d8-4d654e1c800d7608546181152484280.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:09:45.562 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:45.714 AUDIT INFO  projectSaveAs | fdd-open-silent17728077657466630693.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17728077657466630693.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:45.715 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:09:45.753 AUDIT INFO  projectOpen | fdd-open-silent17728077657466630693.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17728077657466630693.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:09:45.881 AUDIT INFO  projectSave | fdd-open-silent17728077657466630693.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17728077657466630693.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:09:45.882 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17728077657466630693.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:09:45.924 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:45.933 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:45.939 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:46.105 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:46.114 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:09:46.239 AUDIT INFO  projectSaveAs | fdd-mru-order-a17494525862538657807.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a17494525862538657807.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:46.240 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:09:46.380 AUDIT INFO  projectSaveAs | fdd-mru-order-b83152733171825089.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b83152733171825089.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:09:46.382 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a17494525862538657807.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:11:45.032 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:45.049 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:45.274 AUDIT INFO  projectSaveAs | fdd-mru-a12625607328283949513.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12625607328283949513.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:11:45.278 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:11:45.389 AUDIT INFO  projectSave | fdd-mru-a12625607328283949513.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12625607328283949513.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:11:45.390 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12625607328283949513.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:11:45.433 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:45.602 AUDIT INFO  projectSaveAs | fddtest-90c465de-0c17-40e4-86b4-7560d8618d037149608015252165863.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-90c465de-0c17-40e4-86b4-7560d8618d037149608015252165863.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:11:45.834 AUDIT INFO  projectSave | fddtest-90c465de-0c17-40e4-86b4-7560d8618d037149608015252165863.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-90c465de-0c17-40e4-86b4-7560d8618d037149608015252165863.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:11:45.950 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.101 AUDIT INFO  projectSaveAs | fdd-open-silent15523397598766243856.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15523397598766243856.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:11:46.102 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:11:46.145 AUDIT INFO  projectOpen | fdd-open-silent15523397598766243856.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15523397598766243856.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:11:46.273 AUDIT INFO  projectSave | fdd-open-silent15523397598766243856.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15523397598766243856.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:11:46.273 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15523397598766243856.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:11:46.317 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.325 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.332 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.502 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.511 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:46.644 AUDIT INFO  projectSaveAs | fdd-mru-order-a13899360573461358945.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a13899360573461358945.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:11:46.644 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:11:46.779 AUDIT INFO  projectSaveAs | fdd-mru-order-b10345767275562120301.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b10345767275562120301.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:11:46.781 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a13899360573461358945.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:11:46.827 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:11:47.420 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node=X auditAction=commandExecute
2025-08-09 22:11:47.420 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node=X auditAction=nodeMove
2025-08-09 22:11:47.420 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node=X auditAction=commandUndo
2025-08-09 22:11:47.420 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node=X auditAction=commandRedo
2025-08-09 22:13:16.264 AUDIT INFO  projectOpen | simple.xml | project=/Volumes/X9Pro/Local/Programming/Java/FDD.Tools/src/main/resources/simple.xml action=openProject node= auditAction=projectOpen
2025-08-09 22:13:32.172 AUDIT INFO  projectSaveAs | simple.fddi | project=/Users/vds/Desktop/simple.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:13:32.174 AUDIT INFO  asyncSuccess | Saving As | project=/Volumes/X9Pro/Local/Programming/Java/FDD.Tools/src/main/resources/simple.xml action=async:Saving As node=Actvity 1 auditAction=asyncSuccess
2025-08-09 22:13:37.045 AUDIT INFO  projectSave | simple.fddi | project=/Users/vds/Desktop/simple.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:13:37.046 AUDIT INFO  asyncSuccess | Saving | project=/Users/vds/Desktop/simple.fddi action=async:Saving node=Actvity 1 auditAction=asyncSuccess
2025-08-09 22:13:48.585 AUDIT INFO  asyncSuccess | Test | project= action=async:Test node= auditAction=asyncSuccess
2025-08-09 22:13:48.891 AUDIT INFO  asyncSuccess | Loading | project= action=async:Loading node= auditAction=asyncSuccess
2025-08-09 22:13:48.984 AUDIT INFO  asyncFailure | Fail: RuntimeException | project= action=async:Fail node= auditAction=asyncFailure
2025-08-09 22:14:06.593 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:06.610 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:06.830 AUDIT INFO  projectSaveAs | fdd-mru-a17053805873333664792.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17053805873333664792.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:14:06.833 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:14:06.955 AUDIT INFO  projectSave | fdd-mru-a17053805873333664792.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17053805873333664792.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:14:06.955 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17053805873333664792.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:14:06.998 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
